terminal side of the angle;uhlangothi lokugcina lweyengela;
terminal speed;ijubanemkhawulo;
term;uhlangothi/ ithemu;
transpose;ushintshaniso;
transversal;ivundlamigqa;
triangle;unxantathu/umacalamathathu/ umayengelantathu;
triangular prism;okuminxamithathu;
trigonometry;isifundo seminxamithathu;
trigonometric function;insizakwenza yeminxamithathu;
trigonometric identity;isihlonzi seminxamithathu;
trinomial;unhlangothintathu;
undetermined coefficient;ikhofishiyenti engahlonziwe;
union;inhlanganisela;
uniqueness;ukuhluka;
universal set;iqoqokazi;
upper bound;okunomkhawulosigcino;
variable;unonguqu;
variance;inhluko;
vector components;izingxenye zesingakonkomba;
vector;isingakonkomba;
vertical asymptote;insondelakungathinti emile;
vertex;inhlanganomigqa;
volume;umthamo;
wavelength;ubudemaza;
width;ububanzi;
x-intercept;umgamanxovundlo;
y-intercept;umgamanxokunyuka;
zero;okungekho/igunqu;
