English Term,English Definition,IsiZulu Term,IsiZulu Definition
matron ,,umphathibahlengikazi/ umethroni,
measures of incidence ,,isilinganisozehlakalo,
measles ,,isimungumungwana,
medical ,,ezokwelapha ,
menstruation ,,ukuba sesikhathini(lgp)/ ukumensa (lgp)/ ukuba ezinsukwini(lgp)/ukugeza (lsp),
mental health,,ukuphila ngokwengqondo,
milestones,,izigaba zokukhula (kwezingane),
minerals ,,izakhamzimba ezingamaminerali ,
miscarriage ,,ukuphuphunyelwa isisu/ukuphuphuma kwesisu,
moderate ,,okusezingeni elamukelekile,
morning ? after pill,,umvakocansi,
mortuary ,,emakhazeni/ emoshwari ,
natural history of disease ,,umlando wemvelaphi yesifo ,
nausea ,,isicanucanu/ukucanuzela kwenhliziyo,
neglect ,,ukunganakekeli/ukungaqapheli,
neonatal mortality rate ,,izingakufa lwezinsana ezisebomvana,
neonate ,,usana ,
norm ,,inkambiso ,
nursing care plan ,,uhlelo lokunakekelwa kwesiguli,
nursing process ,,inqubo yokuhlenga,
nutrition ,,ukondliwa komzimba,
nutrients ,,izondlamzimba/izinikamsoco,
obesity ,,ukukhuluphala ngokweqile,
obstructive ,,okuphazamiso/okuthiyayo,
occupational health ,,ezempilo emsebenzini,
occurrence ,,ukwenzeka/isehlakalo,
opportunistic infection,,isifo esingusomathuba,
oral-genital sex,,ucansi lwasemlonyeni ,
outbreak ,,ukubheduka /ukuqubuka/ ukuvumbuka kwesifo,
oxytocin ,,ihomoni ekhamayo/ isigqa esiyinsizakukhama /umjovo,
pandemic ,,ubhubhane / umbhedukane,
papsmear  ,,isihlonzamdlavuza wesibeletho,
partnership ,,ubambiswano,
pathology ,,1.ubunjalo/ ukuziphatha kwesifo 2.ukufunda ngesifo,
pathogens ,,izinhlobo zamagciwane ,
penetration ,,ukufaka/ukungena/ukushutheka,
periodic screening ,,ukuhlola ngokweziwombe/ ngokwezikhathi,
persistent ,,okuphikelelayo/okubeleselayo ,
peristalsis ,,ukunyakaza emathunjini nakweminye imigudu.,
pesticide ,,isibulalazinambuzane,
placenta ,,umzanyana ,
phagocytes ,,isidlamagciwane,
pharmacist ,,usokhemisi ,
physical environment ,,indawo okuhlalwa kuyo,
physical examination/ clinical examination,,ukuxilongwa komzimba ,
physician ,,udokotela wezokwelapha/ umelaphi,
physiotherapist ,,owelapha ngokuvocavocisa ,
plague ,,imbo/ ubhubhane ,
pneumonia,,inyumoniya/isifuba samakhaza,
poison,,ubuthi /ushevu /uphoyizeni,
pollution ,,ukunukubezeka/ ukungcoliseka,
neonatal mortality rate,,izingakufa lezinsana ezisebomvana,
potassium ,,iphotheziyamu,
pre-eclampsia,,isandulelakwenyuka komfutho wegazi kokhulelwe  ,
prenatal ,,phambi kokubeletha ,
prepathogenesis ,,phambi kokuhlatshwa isifo ,
presence ,,ubukhona ,
presumptive ,,okucabangelayo  ,
prevalence ,,inani lasebehlaselwe isifo ,
preventative ,,okuvikelayo,
prevention ,,ukuvikela,
primary case,,umhlaselwasifo wokuqala,
primary prevention ,,ukuvikelangqangi/ isigaba sokuqala sokuvikeleka,
privacy ,,1.ubumfihlo 2.ubungasese/ubusithe ,
problem- orientated assessment ,,inhlolomsuka yenkinga/ inhlolombangela yenkinga ,
prophylactic ,,isivikelasifo/ isivimbasifo ,
proportion ,,isilinganisobungako,
protein ,,isakhamzimba esiyiphrotheyini,
protozoa ,,igciwane elisashobishobi,
