gluteus,,izinqe,;
glycogen,,umkhiqizo wokuwuswidi,;
goiter,,ukuvuvukala kwezindlala zegilo,;
gonad,,isikhiqizambewu,;
gracile, gracilis,,okondile/okuzacile,;
granulosum,,uhlamvana,;
griseum,,okumpunga,;
gustatory,,ukunambitha,;
gyrus,,amazombezombe obuchopho,;
habenula,,ibhenula,;
haemopoiesis,,ukwakheka kwegazi,;
haemorrhoid,,umhlume/imizoko,;
hallux,,uqukula /ubhozo,;
hamate,,okusahhuku,;
hamulus,,ihhukwana,;
haustrum,,isidonsamanzi,;
helicotrema,,insongelekamgodi,;
hemiplegia,,unhlangothi,;
hepatic,,okuphathelene nesibindi,;
hernia,,isiputshukane,;
herpes,,amashashazi,;
hetero-,,isiqalo esisho okunye /nokwehlukile ,;
hiatus,,imbobo enkulu,;
hippocampus,,isilawulamizwelo (esisebuchosheni),;
histiocyte,,isicutshana esiyisosha,;
histology,,ukufunda ngezicubu,;
hilum,,intuba ,;
homo,,umuntu,;
homo-,,isiqalo esiphathelene nokufanayo/nokukodwa,;
homologous,,okuhambisanayo,;
hormone,,isigqa,;
humerus,,ithambo lomkhono,;
humour,,uketshezi lweso/uketshezi oluwumakhanyangale ,;
hyaline,,uqwanga olungenambala,;
hyaloid,,okuwumakhanyangale,;
hydro-,,isiqalo esiphathelene namanzi,;
hymen,,iso/ihlo,;
hyoid,,okumise okuka-u (entanyeni),;
hyper,,isiqalo esiphathelene nokweqile/nokwedlulele,;
hypo-,,isiqalo esiphathelene nokungaphansi,;
hypochordal,,okungaphambi komfunkulu,;
hypophysis,,indlala ngaphansi kobuchopho (pituitary),;
hypothenar,,umsiphakulawula kucikicane,;
ileum,, 1. amalulu 2. ingezansi  lamathumbu amancane,;
iliac,,inqulu,;
ilium,,ithebe/ithambo lenqulu,;
ima,,okungezansi,;
impar,,okuhamba kodwa,;
incisor,, izinyo lokuluma / lokusika,;
incisurea,,umsikeko,;
incus,,isikhando/ikhandela,;
index,,unkomba,;
indicis,,okusuka kunkomba,;
indusium,,untwentwesi lwangaphansi,;
infarct,,ukufa kwesicubu,;
infra-,,isiqalo esiphathelene nengaphansi,;
infundibulum,,okumise okwefanela,;
inguinal,,imbilapho,;
innominate,,okungenagama,;
