;English Term;English Definition;IsiZulu Term;IsiZulu Definition
tactic;;ukukhonza/ukuncika;
tag;;uthomsuka;
tagmeme;;usobizo;
tagmemics;;ukufaka esikhundleni sokunye;
tap;;iqonelwalimi;
target;;isijobelelo;
taxeme;;isengezi;
taxonomic;;indlulakonke;
telic;;iqonelalimi;
tempo;;izinga leqonelalimi;
tenor;;inguquko engachazeki ngokwesakhiwo;
tense;;okwesengezi;
tensed;;Ilunga;
tension;;ubudlelwanosakhiwoncazelo/isinesthezya;
terminal;;okwamanje;
tertiary response;;ukulumbanisa;
tessitura;;umqondofana;
text;;isihlahla sohlelomusho;
text linguistics ;;ukulandelana ngokwesakhiwo;
theme;;ubudlelwano ngokwesakhiwo                          ;
theoretical linguistics ;;uhlelomusho;
thesaurus ;;okwenguquko esakhiwenimagama;
tongue;;uhlelo;
tonic;;ulwazi lwemvelo;
topic;;isukuhlela;
total accountability;;umbuzosiqinisekiso;
tough movement;;isiqinisekisi;
trace;;isayensi yokuqinisekisa;
traditional;;umaphimiswakanye;
transcription;;inhlosomsindo;
transformation;;isithasiselankulumo esincane;
transition network grammar;;okobudlelwanokuhleleka;
transitivity;;okuphelayo;
transparent ;;isigqisivinini;
;;isimonkulumo;
triadic;;inkathi;
triangle;;okunenkathi;
trill;;ukuqinakudonseka;
triphthong;;okugcinile;
truth-conditional semantics;;impendulokuqinisekisa;
type;;umgamophimbo/ithesithura;
typological classification;;umbhalo;
typology ;;ucwaningozilimi lwemibhalo;
ultimate constituent;;Indikimba/ingqikithi/isihloko;
unbounded dependency;; ucwaningozilimi oluyinjulalwazi;
under extension;;isichazamazwi somqondofana;
underlying structure;;ulimi;
unit;;okunephimbo;
universal;;isihloko/indikimba/ingqikithi;
universal feature;;uhlaziyolimi oluphelele;
universal grammar;;okungajwayelekile oliminimvama;
unmarked;;inkombanguquko  ;
unproductive;;okwasendulo/okwendabuko;
unproductive morpheme;;ukubhala ngefonetiki;
usage;;inguquko;
utterance;;uhlelolimi loxhumanoguquko;
uvular;;ubukhonasengezo;
variable;;okusobala;
variant;;;
variety;;okobuzingantathu/ithrayadikhi;
velar;;unxantathu;
ventricular;;uvevezela/umangqangqazela;
verb ;;unkamisantathu;
vernacular;;isifundoncazelo sesimobuqiniso;
vocabulary;;uhlobo;
vocalic;;ukuhlela ngokohlobo;
vocalisation;;isifundo ngokuhlobana kwezilimi;
vocative;;okungasanciphiseki;
voice;;ubudlelwano obungenamkhawulo;
voice dynamics;;ukusebenzisa igama ngokunqindekile;
voice qualifier;;isakhiwo esiyinsukelakuyo;
voice quality;;iyunithi/okukodwa;
voiced;;okwezilimi zonke;
voiceless;; uphawujikelele;
voiceprint;;uhlelolimi jikelele;
vowel;;okungagqamile;
vowel chart;;okungenamthelela;
whistle-speech;;isakhi esingenamthelela;
whiz-deletion;;ukusetshenziswa ;
word;;ukuphimisa;
word class ;;ugovane;
word formation;;isimelimunxa/ivariyebuli;
word order;;uhlobohluka;
X-bar theory;;ubunhlobonhlobo;
;;umalakeni;
zero;;okwegilo;
zero derivation;;isenzo;
;;ulimi lomdabu;
;;ulwazimagama;
;;okwephimbo;
;;ukuveza ngephimbo;
;;isibizi;
;; indlela;
;;;
;;inguqukozwi ngokwesimo;
;;isiqondisizwi;
;;izingabunjalo lezwi;
;;okunezwi;
;;okungenazwi;
;;umbhalozwi;
;;unkamisa;
;;ishadi lonkamisa;
;;inkulumokhwela;
;;isusasabizwana sesibaluli;
;;igama;
;;uhlobomagama;
;;ukwakheka kwegama;
;;uhlelomagama;
;;injulalwazi ye-X-bar/ injulalwazi i-X-bar;
;;okungenasakhi;
;;okungaveli kwelinye igama/ukuguquka okungaveli egameni;
