English Terms;English Definition;IsiZulu Term;IsiZulu Definition 
rectus capitis lateralis;;umsipha wekhanda oqondile oseceleni;
rectus capitis posterior major;;umsiphakazi wekhanda oqondile osemuva ;
rectus capitis posterior minor;;umsishana wekhanda oqondile osemuva ;
rectus femoris;;umsipha oqondile wethanga;
renal;;okwezinso ;
respiration;;ukuphefumula;
rhomboid major;;isinyakazisisiphanga esikhulu/ irombasi enkulu ;
rhomboid minor;;isinyakazisisiphanga esincane/ irombasi encane;
rotation;;ukuzungezisa;
rotator;;isizungezisi;
rugae;;amafingqofingqo;
sacral;;okwehoho;
sacral nerve;;umuzwa wehoho;
sacral plexus;;isixhobomizwa sehoho;
saddle joint;;ilunga elisasihlalo sehhashi;
saliva;;amathe;
secondary cartilaginous joint;;ilungasengezo elinoqwanga;
semilunar valves;;uvulavale oyinyangacezu;
semimembranosus;;umgobadolo omkhulu;
semispinalis;;inqethukisakhanda;
semitendinosus;;umgobadolo omcane;
sensory;;okwenzwa;
septum;;isehlukanisi;
serratus anterior;;umsiphasifubamazenga ongaphambili ;
serratus posterior inferior;;umsiphasifubamazenga ophansi ngemuva;
serratus posterior superior;;umsiphasifubamazenga ophezulu ngemuva;
shoulder;;ihlombe;
skeletal;;okwamathambo;
skin;; isikhumba;
spasm;;ukudikiza;
sphenoparietal suture;;inhlanganagebhezi nenhlafuno;
spinal;;okomgogodla;
spinous process;;iqhosha ethanjeni lomgogodla;
splenic;;okobende;
splenius capitis;;isijikisakhanda esisesiphundu;
splenius cervicis;;isijikisakhanda esisentanyeni;
squama;;okumazenga;
squamosal suture;;inhlanganagebhezi yokumazenga ;
stenosis;;ukuncipha;
sternocleidomastoid;;umlala ;
sternohyoid;; isehlisithambo lokugwinya;
sternothyroid;; isehlisimphimbo;
stomach;;isisu;
styloglossus ;;isinyakazisilulimu ;
stylohyoid ;;isenyusithambo lokugwinya;
styloid process;;ithambodosi;
stylomandibular ligament;;umsipha wethambodosi;
stylopharyngeus ;;isenyusimphimbo;
subarachnoid;;ngaphansi kontwentwesi lwesibili;
subclavian artery;;umthambo ongaphansi kwenqwababa/ umthambo isabhukleviyeni;
subclavius;;okungaphansi kwenqwababa;
subcostalis ;;umsiphambambo ongaphansi;
subcutaneous;;okungaphansi kwesikhumba;
sublingual;;okungaphansi kolimu;
submandibular;;okungaphansi komhlathi ongezansi;
subscapularis ;;okungaphansi kwesiphanga;
superficial;;okusondele ngaphezulu;
superior;;okuphezulu/ okungenhla;
superior muscle;;umsipha ophezulu;
superior eyelid;;ijwabu elingenhla kweso;
superior gemellus;;umsipha ongenhla ezinqeni;
superior nasal concha;;isakhiwo sekhala esiphezulu;
superior oblique;;indonsaliso etshekile engenhla;
superior orbital fissure;;isikhala somgudumzungezo esingenhla;
superior pharyngeal constrictor;;isinciphisimphimbo esingenhla;
superior rectus;;umsipha weso oqondile ongenhla;
superior vena cava;;umthambokumoma wesingenhla ;
supinator;;isibhekisaphezulu sesandla ;
supine;;ukulala ngomhlane;
suprascapular;; ingenhla lesiphanga;
supraspinatus;;umsipha ongenhla kwesiphanga;
sweat;;umjuluko;
syndesmosis;;isicubusihlanganisi;
tachycardia;;ukubhakuza kwenhliziyo okungajwayelekile;
temporalis;;umsipha wenhlafuno;
tenia coli;;umdweshu okupopopo;
tensor;;isiqinisi;
tensor fascia latae;;isiqinisinqulu;
tensor veli palatini;;isiqinisilwanga;
teres major;;umsiphakazi wesiphanga ;
teres minor;;umsishana wesiphanga ;
thigh;;ithanga;
third ventricle;;isikhala sesithathu ebuchosheni;
thoracic nerves;;imizwa yesifuba;
thoraco-;;okwesifuba;
thyroarytenoid;;isifinyezi zintambo zephimbo;
thyrohyoid;;isehlisisenyusi sethambo lokugwinya;
thyrohyoid membrane;;untwentwesi lwesehlisisenyusi;
thyroid cartilage;;uqwanga olusemphinjeni;
tibial;;okombala/okwembalule;
tibialis anterior;;umsipha wombala/wembalule ongaphambili;
tibialis posterior;;umsipha wombala/wembalule okungemuva;
transverse process;;iqhosha elivundlile;
transversus;;okuvundlile;
transversus abdominis;;okwenxasisu okuvundlile;
transversus thoracis;;okwezimbambo okuvundlile ;
trapezius;;umsipha owumcijo ;
triceps;;umsipha ozigaxantathu;
triceps brachii;;uzigaxantathu wengalo;
tricuspid valve;;uvulavale ontubantathu;
trigeminal nerve;;umuzwa omagatshantathu;
trochlea pulley;;insizandonsaliso;
trochlear nerve;;umuzwa wendonsaliso etshekile engenhla;
ulnar nerve;;umuzwa wethambo lengalo elingaphakathi;
umbilical;;okwenkaba;
urinary;;okomchamo;
urogenital diaphragm;;untu lwesibumbu ;
uterine/fallopian tubes;;umgudu weqanda;
valve;;uvulavale;
vasoconstriction;;ukuncipha komthambo;
vasodilation;;ukuvuleka komthambo;
vastus;;umsipha osethangeni;
vastus intermedius;;umsipha omaphakathi nethanga;
vastus lateralis;;umsipha osohlangothini lwangaphandle lwethanga ;
vastus medialis;;umsipha ongaphakathi ethangeni;
vein;;umthambosibuyisi;
ventral;;ingaphambili ;
vertebral;;okwamathambo omgogodla ;
verticalis;;umsipha omile;
vesical;;okwesinye;
vestibulocochlear nerve;;umuzwa wokuzwa;
visceral;;okuphathelene nezibilini;
vitreous humour;;uketshezi olusemuva neso;
wrist;;isihlakala;
zygomaticus major ;;insizakumoyizela enkulu;
zygomaticus minor;;insizakumoyizela encane;
